WTP,Boost,noBoost,strategy
14800,0.317,0.683,"Paediatric boosting, younger population, immune escape starts 1.5yr, boosting at 2.0yr"
14900,0.3172,0.6828,"Paediatric boosting, younger population, immune escape starts 1.5yr, boosting at 2.0yr"
15000,0.3176,0.6824,"Paediatric boosting, younger population, immune escape starts 1.5yr, boosting at 2.0yr"
15100,0.3176,0.6824,"Paediatric boosting, younger population, immune escape starts 1.5yr, boosting at 2.0yr"
15200,0.3182,0.6818,"Paediatric boosting, younger population, immune escape starts 1.5yr, boosting at 2.0yr"
15300,0.3194,0.6806,"Paediatric boosting, younger population, immune escape starts 1.5yr, boosting at 2.0yr"
15400,0.3212,0.6788,"Paediatric boosting, younger population, immune escape starts 1.5yr, boosting at 2.0yr"
15500,0.3232,0.6768,"Paediatric boosting, younger population, immune escape starts 1.5yr, boosting at 2.0yr"
15600,0.324,0.676,"Paediatric boosting, younger population, immune escape starts 1.5yr, boosting at 2.0yr"
15700,0.3242,0.6758,"Paediatric boosting, younger population, immune escape starts 1.5yr, boosting at 2.0yr"
15800,0.325,0.675,"Paediatric boosting, younger population, immune escape starts 1.5yr, boosting at 2.0yr"
15900,0.3252,0.6748,"Paediatric boosting, younger population, immune escape starts 1.5yr, boosting at 2.0yr"
16000,0.3252,0.6748,"Paediatric boosting, younger population, immune escape starts 1.5yr, boosting at 2.0yr"
16100,0.3254,0.6746,"Paediatric boosting, younger population, immune escape starts 1.5yr, boosting at 2.0yr"
16200,0.3258,0.6742,"Paediatric boosting, younger population, immune escape starts 1.5yr, boosting at 2.0yr"
16300,0.3258,0.6742,"Paediatric boosting, younger population, immune escape starts 1.5yr, boosting at 2.0yr"
16400,0.3264,0.6736,"Paediatric boosting, younger population, immune escape starts 1.5yr, boosting at 2.0yr"
16500,0.3266,0.6734,"Paediatric boosting, younger population, immune escape starts 1.5yr, boosting at 2.0yr"
16600,0.3268,0.6732,"Paediatric boosting, younger population, immune escape starts 1.5yr, boosting at 2.0yr"
16700,0.3272,0.6728,"Paediatric boosting, younger population, immune escape starts 1.5yr, boosting at 2.0yr"
16800,0.3276,0.6724,"Paediatric boosting, younger population, immune escape starts 1.5yr, boosting at 2.0yr"
16900,0.3278,0.6722,"Paediatric boosting, younger population, immune escape starts 1.5yr, boosting at 2.0yr"
17000,0.3282,0.6718,"Paediatric boosting, younger population, immune escape starts 1.5yr, boosting at 2.0yr"
17100,0.3292,0.6708,"Paediatric boosting, younger population, immune escape starts 1.5yr, boosting at 2.0yr"
17200,0.3298,0.6702,"Paediatric boosting, younger population, immune escape starts 1.5yr, boosting at 2.0yr"
17300,0.3304,0.6696,"Paediatric boosting, younger population, immune escape starts 1.5yr, boosting at 2.0yr"
17400,0.3314,0.6686,"Paediatric boosting, younger population, immune escape starts 1.5yr, boosting at 2.0yr"
17500,0.332,0.668,"Paediatric boosting, younger population, immune escape starts 1.5yr, boosting at 2.0yr"
17600,0.333,0.667,"Paediatric boosting, younger population, immune escape starts 1.5yr, boosting at 2.0yr"
17700,0.3332,0.6668,"Paediatric boosting, younger population, immune escape starts 1.5yr, boosting at 2.0yr"
17800,0.3338,0.6662,"Paediatric boosting, younger population, immune escape starts 1.5yr, boosting at 2.0yr"
17900,0.3352,0.6648,"Paediatric boosting, younger population, immune escape starts 1.5yr, boosting at 2.0yr"
18000,0.3356,0.6644,"Paediatric boosting, younger population, immune escape starts 1.5yr, boosting at 2.0yr"
18100,0.336,0.664,"Paediatric boosting, younger population, immune escape starts 1.5yr, boosting at 2.0yr"
18200,0.3368,0.6632,"Paediatric boosting, younger population, immune escape starts 1.5yr, boosting at 2.0yr"
18300,0.337,0.663,"Paediatric boosting, younger population, immune escape starts 1.5yr, boosting at 2.0yr"
18400,0.337,0.663,"Paediatric boosting, younger population, immune escape starts 1.5yr, boosting at 2.0yr"
18500,0.3376,0.6624,"Paediatric boosting, younger population, immune escape starts 1.5yr, boosting at 2.0yr"
18600,0.3382,0.6618,"Paediatric boosting, younger population, immune escape starts 1.5yr, boosting at 2.0yr"
18700,0.3388,0.6612,"Paediatric boosting, younger population, immune escape starts 1.5yr, boosting at 2.0yr"
18800,0.3392,0.6608,"Paediatric boosting, younger population, immune escape starts 1.5yr, boosting at 2.0yr"
18900,0.3394,0.6606,"Paediatric boosting, younger population, immune escape starts 1.5yr, boosting at 2.0yr"
19000,0.3398,0.6602,"Paediatric boosting, younger population, immune escape starts 1.5yr, boosting at 2.0yr"
19100,0.3404,0.6596,"Paediatric boosting, younger population, immune escape starts 1.5yr, boosting at 2.0yr"
19200,0.3408,0.6592,"Paediatric boosting, younger population, immune escape starts 1.5yr, boosting at 2.0yr"
19300,0.3408,0.6592,"Paediatric boosting, younger population, immune escape starts 1.5yr, boosting at 2.0yr"
19400,0.3412,0.6588,"Paediatric boosting, younger population, immune escape starts 1.5yr, boosting at 2.0yr"
19500,0.3414,0.6586,"Paediatric boosting, younger population, immune escape starts 1.5yr, boosting at 2.0yr"
19600,0.3418,0.6582,"Paediatric boosting, younger population, immune escape starts 1.5yr, boosting at 2.0yr"
19700,0.3418,0.6582,"Paediatric boosting, younger population, immune escape starts 1.5yr, boosting at 2.0yr"
19800,0.3424,0.6576,"Paediatric boosting, younger population, immune escape starts 1.5yr, boosting at 2.0yr"
19900,0.3428,0.6572,"Paediatric boosting, younger population, immune escape starts 1.5yr, boosting at 2.0yr"
20000,0.3432,0.6568,"Paediatric boosting, younger population, immune escape starts 1.5yr, boosting at 2.0yr"
20100,0.344,0.656,"Paediatric boosting, younger population, immune escape starts 1.5yr, boosting at 2.0yr"
20200,0.3444,0.6556,"Paediatric boosting, younger population, immune escape starts 1.5yr, boosting at 2.0yr"
20300,0.345,0.655,"Paediatric boosting, younger population, immune escape starts 1.5yr, boosting at 2.0yr"
20400,0.345,0.655,"Paediatric boosting, younger population, immune escape starts 1.5yr, boosting at 2.0yr"
20500,0.3452,0.6548,"Paediatric boosting, younger population, immune escape starts 1.5yr, boosting at 2.0yr"
20600,0.3456,0.6544,"Paediatric boosting, younger population, immune escape starts 1.5yr, boosting at 2.0yr"
20700,0.3458,0.6542,"Paediatric boosting, younger population, immune escape starts 1.5yr, boosting at 2.0yr"
20800,0.3462,0.6538,"Paediatric boosting, younger population, immune escape starts 1.5yr, boosting at 2.0yr"
20900,0.3464,0.6536,"Paediatric boosting, younger population, immune escape starts 1.5yr, boosting at 2.0yr"
21000,0.3468,0.6532,"Paediatric boosting, younger population, immune escape starts 1.5yr, boosting at 2.0yr"
21100,0.347,0.653,"Paediatric boosting, younger population, immune escape starts 1.5yr, boosting at 2.0yr"
21200,0.3478,0.6522,"Paediatric boosting, younger population, immune escape starts 1.5yr, boosting at 2.0yr"
21300,0.3478,0.6522,"Paediatric boosting, younger population, immune escape starts 1.5yr, boosting at 2.0yr"
21400,0.3482,0.6518,"Paediatric boosting, younger population, immune escape starts 1.5yr, boosting at 2.0yr"
21500,0.3484,0.6516,"Paediatric boosting, younger population, immune escape starts 1.5yr, boosting at 2.0yr"
21600,0.3492,0.6508,"Paediatric boosting, younger population, immune escape starts 1.5yr, boosting at 2.0yr"
21700,0.3502,0.6498,"Paediatric boosting, younger population, immune escape starts 1.5yr, boosting at 2.0yr"
21800,0.3508,0.6492,"Paediatric boosting, younger population, immune escape starts 1.5yr, boosting at 2.0yr"
21900,0.351,0.649,"Paediatric boosting, younger population, immune escape starts 1.5yr, boosting at 2.0yr"
22000,0.3512,0.6488,"Paediatric boosting, younger population, immune escape starts 1.5yr, boosting at 2.0yr"
22100,0.3524,0.6476,"Paediatric boosting, younger population, immune escape starts 1.5yr, boosting at 2.0yr"
22200,0.3526,0.6474,"Paediatric boosting, younger population, immune escape starts 1.5yr, boosting at 2.0yr"
22300,0.3526,0.6474,"Paediatric boosting, younger population, immune escape starts 1.5yr, boosting at 2.0yr"
22400,0.3532,0.6468,"Paediatric boosting, younger population, immune escape starts 1.5yr, boosting at 2.0yr"
22500,0.3536,0.6464,"Paediatric boosting, younger population, immune escape starts 1.5yr, boosting at 2.0yr"
22600,0.3536,0.6464,"Paediatric boosting, younger population, immune escape starts 1.5yr, boosting at 2.0yr"
22700,0.3538,0.6462,"Paediatric boosting, younger population, immune escape starts 1.5yr, boosting at 2.0yr"
22800,0.3542,0.6458,"Paediatric boosting, younger population, immune escape starts 1.5yr, boosting at 2.0yr"
22900,0.3546,0.6454,"Paediatric boosting, younger population, immune escape starts 1.5yr, boosting at 2.0yr"
23000,0.3546,0.6454,"Paediatric boosting, younger population, immune escape starts 1.5yr, boosting at 2.0yr"
23100,0.3546,0.6454,"Paediatric boosting, younger population, immune escape starts 1.5yr, boosting at 2.0yr"
23200,0.3546,0.6454,"Paediatric boosting, younger population, immune escape starts 1.5yr, boosting at 2.0yr"
23300,0.355,0.645,"Paediatric boosting, younger population, immune escape starts 1.5yr, boosting at 2.0yr"
23400,0.3558,0.6442,"Paediatric boosting, younger population, immune escape starts 1.5yr, boosting at 2.0yr"
23500,0.3564,0.6436,"Paediatric boosting, younger population, immune escape starts 1.5yr, boosting at 2.0yr"
23600,0.3566,0.6434,"Paediatric boosting, younger population, immune escape starts 1.5yr, boosting at 2.0yr"
23700,0.3568,0.6432,"Paediatric boosting, younger population, immune escape starts 1.5yr, boosting at 2.0yr"
23800,0.3568,0.6432,"Paediatric boosting, younger population, immune escape starts 1.5yr, boosting at 2.0yr"
23900,0.357,0.643,"Paediatric boosting, younger population, immune escape starts 1.5yr, boosting at 2.0yr"
24000,0.3576,0.6424,"Paediatric boosting, younger population, immune escape starts 1.5yr, boosting at 2.0yr"
24100,0.3578,0.6422,"Paediatric boosting, younger population, immune escape starts 1.5yr, boosting at 2.0yr"
24200,0.3582,0.6418,"Paediatric boosting, younger population, immune escape starts 1.5yr, boosting at 2.0yr"
24300,0.3588,0.6412,"Paediatric boosting, younger population, immune escape starts 1.5yr, boosting at 2.0yr"
24400,0.3596,0.6404,"Paediatric boosting, younger population, immune escape starts 1.5yr, boosting at 2.0yr"
24500,0.3596,0.6404,"Paediatric boosting, younger population, immune escape starts 1.5yr, boosting at 2.0yr"
24600,0.3596,0.6404,"Paediatric boosting, younger population, immune escape starts 1.5yr, boosting at 2.0yr"
24700,0.36,0.64,"Paediatric boosting, younger population, immune escape starts 1.5yr, boosting at 2.0yr"
24800,0.3602,0.6398,"Paediatric boosting, younger population, immune escape starts 1.5yr, boosting at 2.0yr"
24900,0.3606,0.6394,"Paediatric boosting, younger population, immune escape starts 1.5yr, boosting at 2.0yr"
25000,0.361,0.639,"Paediatric boosting, younger population, immune escape starts 1.5yr, boosting at 2.0yr"
25100,0.361,0.639,"Paediatric boosting, younger population, immune escape starts 1.5yr, boosting at 2.0yr"
25200,0.3614,0.6386,"Paediatric boosting, younger population, immune escape starts 1.5yr, boosting at 2.0yr"
25300,0.3614,0.6386,"Paediatric boosting, younger population, immune escape starts 1.5yr, boosting at 2.0yr"
25400,0.3622,0.6378,"Paediatric boosting, younger population, immune escape starts 1.5yr, boosting at 2.0yr"
25500,0.3624,0.6376,"Paediatric boosting, younger population, immune escape starts 1.5yr, boosting at 2.0yr"
25600,0.363,0.637,"Paediatric boosting, younger population, immune escape starts 1.5yr, boosting at 2.0yr"
25700,0.3632,0.6368,"Paediatric boosting, younger population, immune escape starts 1.5yr, boosting at 2.0yr"
25800,0.3636,0.6364,"Paediatric boosting, younger population, immune escape starts 1.5yr, boosting at 2.0yr"
25900,0.3638,0.6362,"Paediatric boosting, younger population, immune escape starts 1.5yr, boosting at 2.0yr"
26000,0.3642,0.6358,"Paediatric boosting, younger population, immune escape starts 1.5yr, boosting at 2.0yr"
26100,0.3642,0.6358,"Paediatric boosting, younger population, immune escape starts 1.5yr, boosting at 2.0yr"
26200,0.3648,0.6352,"Paediatric boosting, younger population, immune escape starts 1.5yr, boosting at 2.0yr"
26300,0.365,0.635,"Paediatric boosting, younger population, immune escape starts 1.5yr, boosting at 2.0yr"
26400,0.3654,0.6346,"Paediatric boosting, younger population, immune escape starts 1.5yr, boosting at 2.0yr"
26500,0.366,0.634,"Paediatric boosting, younger population, immune escape starts 1.5yr, boosting at 2.0yr"
26600,0.3664,0.6336,"Paediatric boosting, younger population, immune escape starts 1.5yr, boosting at 2.0yr"
26700,0.3666,0.6334,"Paediatric boosting, younger population, immune escape starts 1.5yr, boosting at 2.0yr"
26800,0.3664,0.6336,"Paediatric boosting, younger population, immune escape starts 1.5yr, boosting at 2.0yr"
26900,0.3666,0.6334,"Paediatric boosting, younger population, immune escape starts 1.5yr, boosting at 2.0yr"
27000,0.3668,0.6332,"Paediatric boosting, younger population, immune escape starts 1.5yr, boosting at 2.0yr"
27100,0.3668,0.6332,"Paediatric boosting, younger population, immune escape starts 1.5yr, boosting at 2.0yr"
27200,0.3668,0.6332,"Paediatric boosting, younger population, immune escape starts 1.5yr, boosting at 2.0yr"
27300,0.367,0.633,"Paediatric boosting, younger population, immune escape starts 1.5yr, boosting at 2.0yr"
27400,0.3672,0.6328,"Paediatric boosting, younger population, immune escape starts 1.5yr, boosting at 2.0yr"
27500,0.3672,0.6328,"Paediatric boosting, younger population, immune escape starts 1.5yr, boosting at 2.0yr"
27600,0.3676,0.6324,"Paediatric boosting, younger population, immune escape starts 1.5yr, boosting at 2.0yr"
27700,0.3676,0.6324,"Paediatric boosting, younger population, immune escape starts 1.5yr, boosting at 2.0yr"
27800,0.3678,0.6322,"Paediatric boosting, younger population, immune escape starts 1.5yr, boosting at 2.0yr"
27900,0.3678,0.6322,"Paediatric boosting, younger population, immune escape starts 1.5yr, boosting at 2.0yr"
28000,0.3682,0.6318,"Paediatric boosting, younger population, immune escape starts 1.5yr, boosting at 2.0yr"
28100,0.3684,0.6316,"Paediatric boosting, younger population, immune escape starts 1.5yr, boosting at 2.0yr"
28200,0.3686,0.6314,"Paediatric boosting, younger population, immune escape starts 1.5yr, boosting at 2.0yr"
28300,0.369,0.631,"Paediatric boosting, younger population, immune escape starts 1.5yr, boosting at 2.0yr"
28400,0.369,0.631,"Paediatric boosting, younger population, immune escape starts 1.5yr, boosting at 2.0yr"
28500,0.369,0.631,"Paediatric boosting, younger population, immune escape starts 1.5yr, boosting at 2.0yr"
28600,0.369,0.631,"Paediatric boosting, younger population, immune escape starts 1.5yr, boosting at 2.0yr"
28700,0.369,0.631,"Paediatric boosting, younger population, immune escape starts 1.5yr, boosting at 2.0yr"
28800,0.3692,0.6308,"Paediatric boosting, younger population, immune escape starts 1.5yr, boosting at 2.0yr"
28900,0.369,0.631,"Paediatric boosting, younger population, immune escape starts 1.5yr, boosting at 2.0yr"
29000,0.3692,0.6308,"Paediatric boosting, younger population, immune escape starts 1.5yr, boosting at 2.0yr"
29100,0.369,0.631,"Paediatric boosting, younger population, immune escape starts 1.5yr, boosting at 2.0yr"
29200,0.3688,0.6312,"Paediatric boosting, younger population, immune escape starts 1.5yr, boosting at 2.0yr"
29300,0.369,0.631,"Paediatric boosting, younger population, immune escape starts 1.5yr, boosting at 2.0yr"
29400,0.3692,0.6308,"Paediatric boosting, younger population, immune escape starts 1.5yr, boosting at 2.0yr"
29500,0.3696,0.6304,"Paediatric boosting, younger population, immune escape starts 1.5yr, boosting at 2.0yr"
29600,0.3698,0.6302,"Paediatric boosting, younger population, immune escape starts 1.5yr, boosting at 2.0yr"
29700,0.3704,0.6296,"Paediatric boosting, younger population, immune escape starts 1.5yr, boosting at 2.0yr"
29800,0.3706,0.6294,"Paediatric boosting, younger population, immune escape starts 1.5yr, boosting at 2.0yr"
29900,0.371,0.629,"Paediatric boosting, younger population, immune escape starts 1.5yr, boosting at 2.0yr"
30000,0.371,0.629,"Paediatric boosting, younger population, immune escape starts 1.5yr, boosting at 2.0yr"
30100,0.3708,0.6292,"Paediatric boosting, younger population, immune escape starts 1.5yr, boosting at 2.0yr"
30200,0.3708,0.6292,"Paediatric boosting, younger population, immune escape starts 1.5yr, boosting at 2.0yr"
30300,0.3708,0.6292,"Paediatric boosting, younger population, immune escape starts 1.5yr, boosting at 2.0yr"
30400,0.3708,0.6292,"Paediatric boosting, younger population, immune escape starts 1.5yr, boosting at 2.0yr"
30500,0.3706,0.6294,"Paediatric boosting, younger population, immune escape starts 1.5yr, boosting at 2.0yr"
30600,0.3708,0.6292,"Paediatric boosting, younger population, immune escape starts 1.5yr, boosting at 2.0yr"
30700,0.3714,0.6286,"Paediatric boosting, younger population, immune escape starts 1.5yr, boosting at 2.0yr"
30800,0.3716,0.6284,"Paediatric boosting, younger population, immune escape starts 1.5yr, boosting at 2.0yr"
30900,0.3718,0.6282,"Paediatric boosting, younger population, immune escape starts 1.5yr, boosting at 2.0yr"
31000,0.3722,0.6278,"Paediatric boosting, younger population, immune escape starts 1.5yr, boosting at 2.0yr"
31100,0.3722,0.6278,"Paediatric boosting, younger population, immune escape starts 1.5yr, boosting at 2.0yr"
31200,0.3724,0.6276,"Paediatric boosting, younger population, immune escape starts 1.5yr, boosting at 2.0yr"
31300,0.3726,0.6274,"Paediatric boosting, younger population, immune escape starts 1.5yr, boosting at 2.0yr"
31400,0.3726,0.6274,"Paediatric boosting, younger population, immune escape starts 1.5yr, boosting at 2.0yr"
31500,0.3728,0.6272,"Paediatric boosting, younger population, immune escape starts 1.5yr, boosting at 2.0yr"
31600,0.3728,0.6272,"Paediatric boosting, younger population, immune escape starts 1.5yr, boosting at 2.0yr"
31700,0.373,0.627,"Paediatric boosting, younger population, immune escape starts 1.5yr, boosting at 2.0yr"
31800,0.3736,0.6264,"Paediatric boosting, younger population, immune escape starts 1.5yr, boosting at 2.0yr"
31900,0.3742,0.6258,"Paediatric boosting, younger population, immune escape starts 1.5yr, boosting at 2.0yr"
32000,0.3746,0.6254,"Paediatric boosting, younger population, immune escape starts 1.5yr, boosting at 2.0yr"
32100,0.3748,0.6252,"Paediatric boosting, younger population, immune escape starts 1.5yr, boosting at 2.0yr"
32200,0.375,0.625,"Paediatric boosting, younger population, immune escape starts 1.5yr, boosting at 2.0yr"
32300,0.3752,0.6248,"Paediatric boosting, younger population, immune escape starts 1.5yr, boosting at 2.0yr"
32400,0.3752,0.6248,"Paediatric boosting, younger population, immune escape starts 1.5yr, boosting at 2.0yr"
32500,0.3752,0.6248,"Paediatric boosting, younger population, immune escape starts 1.5yr, boosting at 2.0yr"
32600,0.3754,0.6246,"Paediatric boosting, younger population, immune escape starts 1.5yr, boosting at 2.0yr"
32700,0.3754,0.6246,"Paediatric boosting, younger population, immune escape starts 1.5yr, boosting at 2.0yr"
32800,0.3756,0.6244,"Paediatric boosting, younger population, immune escape starts 1.5yr, boosting at 2.0yr"
32900,0.3756,0.6244,"Paediatric boosting, younger population, immune escape starts 1.5yr, boosting at 2.0yr"
33000,0.3756,0.6244,"Paediatric boosting, younger population, immune escape starts 1.5yr, boosting at 2.0yr"
33100,0.3754,0.6246,"Paediatric boosting, younger population, immune escape starts 1.5yr, boosting at 2.0yr"
33200,0.3756,0.6244,"Paediatric boosting, younger population, immune escape starts 1.5yr, boosting at 2.0yr"
33300,0.376,0.624,"Paediatric boosting, younger population, immune escape starts 1.5yr, boosting at 2.0yr"
33400,0.3762,0.6238,"Paediatric boosting, younger population, immune escape starts 1.5yr, boosting at 2.0yr"
33500,0.3762,0.6238,"Paediatric boosting, younger population, immune escape starts 1.5yr, boosting at 2.0yr"
33600,0.3762,0.6238,"Paediatric boosting, younger population, immune escape starts 1.5yr, boosting at 2.0yr"
33700,0.3764,0.6236,"Paediatric boosting, younger population, immune escape starts 1.5yr, boosting at 2.0yr"
33800,0.3768,0.6232,"Paediatric boosting, younger population, immune escape starts 1.5yr, boosting at 2.0yr"
33900,0.377,0.623,"Paediatric boosting, younger population, immune escape starts 1.5yr, boosting at 2.0yr"
34000,0.377,0.623,"Paediatric boosting, younger population, immune escape starts 1.5yr, boosting at 2.0yr"
34100,0.377,0.623,"Paediatric boosting, younger population, immune escape starts 1.5yr, boosting at 2.0yr"
34200,0.377,0.623,"Paediatric boosting, younger population, immune escape starts 1.5yr, boosting at 2.0yr"
34300,0.3772,0.6228,"Paediatric boosting, younger population, immune escape starts 1.5yr, boosting at 2.0yr"
34400,0.3774,0.6226,"Paediatric boosting, younger population, immune escape starts 1.5yr, boosting at 2.0yr"
34500,0.3774,0.6226,"Paediatric boosting, younger population, immune escape starts 1.5yr, boosting at 2.0yr"
34600,0.3778,0.6222,"Paediatric boosting, younger population, immune escape starts 1.5yr, boosting at 2.0yr"
34700,0.3776,0.6224,"Paediatric boosting, younger population, immune escape starts 1.5yr, boosting at 2.0yr"
34800,0.3776,0.6224,"Paediatric boosting, younger population, immune escape starts 1.5yr, boosting at 2.0yr"
34900,0.3778,0.6222,"Paediatric boosting, younger population, immune escape starts 1.5yr, boosting at 2.0yr"
35000,0.3778,0.6222,"Paediatric boosting, younger population, immune escape starts 1.5yr, boosting at 2.0yr"
35100,0.378,0.622,"Paediatric boosting, younger population, immune escape starts 1.5yr, boosting at 2.0yr"
35200,0.378,0.622,"Paediatric boosting, younger population, immune escape starts 1.5yr, boosting at 2.0yr"
35300,0.378,0.622,"Paediatric boosting, younger population, immune escape starts 1.5yr, boosting at 2.0yr"
35400,0.378,0.622,"Paediatric boosting, younger population, immune escape starts 1.5yr, boosting at 2.0yr"
35500,0.3782,0.6218,"Paediatric boosting, younger population, immune escape starts 1.5yr, boosting at 2.0yr"
35600,0.3782,0.6218,"Paediatric boosting, younger population, immune escape starts 1.5yr, boosting at 2.0yr"
35700,0.3784,0.6216,"Paediatric boosting, younger population, immune escape starts 1.5yr, boosting at 2.0yr"
35800,0.3784,0.6216,"Paediatric boosting, younger population, immune escape starts 1.5yr, boosting at 2.0yr"
35900,0.3784,0.6216,"Paediatric boosting, younger population, immune escape starts 1.5yr, boosting at 2.0yr"
36000,0.3786,0.6214,"Paediatric boosting, younger population, immune escape starts 1.5yr, boosting at 2.0yr"
36100,0.3788,0.6212,"Paediatric boosting, younger population, immune escape starts 1.5yr, boosting at 2.0yr"
36200,0.3788,0.6212,"Paediatric boosting, younger population, immune escape starts 1.5yr, boosting at 2.0yr"
36300,0.3788,0.6212,"Paediatric boosting, younger population, immune escape starts 1.5yr, boosting at 2.0yr"
36400,0.379,0.621,"Paediatric boosting, younger population, immune escape starts 1.5yr, boosting at 2.0yr"
36500,0.379,0.621,"Paediatric boosting, younger population, immune escape starts 1.5yr, boosting at 2.0yr"
36600,0.379,0.621,"Paediatric boosting, younger population, immune escape starts 1.5yr, boosting at 2.0yr"
36700,0.3794,0.6206,"Paediatric boosting, younger population, immune escape starts 1.5yr, boosting at 2.0yr"
36800,0.3796,0.6204,"Paediatric boosting, younger population, immune escape starts 1.5yr, boosting at 2.0yr"
36900,0.3802,0.6198,"Paediatric boosting, younger population, immune escape starts 1.5yr, boosting at 2.0yr"
37000,0.3804,0.6196,"Paediatric boosting, younger population, immune escape starts 1.5yr, boosting at 2.0yr"
37100,0.3806,0.6194,"Paediatric boosting, younger population, immune escape starts 1.5yr, boosting at 2.0yr"
37200,0.3806,0.6194,"Paediatric boosting, younger population, immune escape starts 1.5yr, boosting at 2.0yr"
37300,0.3806,0.6194,"Paediatric boosting, younger population, immune escape starts 1.5yr, boosting at 2.0yr"
37400,0.3806,0.6194,"Paediatric boosting, younger population, immune escape starts 1.5yr, boosting at 2.0yr"
37500,0.381,0.619,"Paediatric boosting, younger population, immune escape starts 1.5yr, boosting at 2.0yr"
37600,0.381,0.619,"Paediatric boosting, younger population, immune escape starts 1.5yr, boosting at 2.0yr"
37700,0.381,0.619,"Paediatric boosting, younger population, immune escape starts 1.5yr, boosting at 2.0yr"
37800,0.381,0.619,"Paediatric boosting, younger population, immune escape starts 1.5yr, boosting at 2.0yr"
37900,0.381,0.619,"Paediatric boosting, younger population, immune escape starts 1.5yr, boosting at 2.0yr"
38000,0.381,0.619,"Paediatric boosting, younger population, immune escape starts 1.5yr, boosting at 2.0yr"
38100,0.3814,0.6186,"Paediatric boosting, younger population, immune escape starts 1.5yr, boosting at 2.0yr"
38200,0.3814,0.6186,"Paediatric boosting, younger population, immune escape starts 1.5yr, boosting at 2.0yr"
38300,0.3818,0.6182,"Paediatric boosting, younger population, immune escape starts 1.5yr, boosting at 2.0yr"
38400,0.382,0.618,"Paediatric boosting, younger population, immune escape starts 1.5yr, boosting at 2.0yr"
38500,0.382,0.618,"Paediatric boosting, younger population, immune escape starts 1.5yr, boosting at 2.0yr"
38600,0.3824,0.6176,"Paediatric boosting, younger population, immune escape starts 1.5yr, boosting at 2.0yr"
38700,0.3824,0.6176,"Paediatric boosting, younger population, immune escape starts 1.5yr, boosting at 2.0yr"
38800,0.3824,0.6176,"Paediatric boosting, younger population, immune escape starts 1.5yr, boosting at 2.0yr"
38900,0.3824,0.6176,"Paediatric boosting, younger population, immune escape starts 1.5yr, boosting at 2.0yr"
39000,0.3824,0.6176,"Paediatric boosting, younger population, immune escape starts 1.5yr, boosting at 2.0yr"
39100,0.3824,0.6176,"Paediatric boosting, younger population, immune escape starts 1.5yr, boosting at 2.0yr"
39200,0.3824,0.6176,"Paediatric boosting, younger population, immune escape starts 1.5yr, boosting at 2.0yr"
39300,0.3824,0.6176,"Paediatric boosting, younger population, immune escape starts 1.5yr, boosting at 2.0yr"
39400,0.3824,0.6176,"Paediatric boosting, younger population, immune escape starts 1.5yr, boosting at 2.0yr"
39500,0.3824,0.6176,"Paediatric boosting, younger population, immune escape starts 1.5yr, boosting at 2.0yr"
39600,0.3824,0.6176,"Paediatric boosting, younger population, immune escape starts 1.5yr, boosting at 2.0yr"
39700,0.3824,0.6176,"Paediatric boosting, younger population, immune escape starts 1.5yr, boosting at 2.0yr"
39800,0.3824,0.6176,"Paediatric boosting, younger population, immune escape starts 1.5yr, boosting at 2.0yr"
39900,0.3824,0.6176,"Paediatric boosting, younger population, immune escape starts 1.5yr, boosting at 2.0yr"
40000,0.3824,0.6176,"Paediatric boosting, younger population, immune escape starts 1.5yr, boosting at 2.0yr"
